senseval2.d000.s000.t000	5) The study and creation of visual works of art
semeval2015.d001.s014.t001	1) Existing in possibilityThe definition of "possible" in this context means existing or existing in a state of possibility or
semeval2015.d001.s014.t002	The most suitable definition is 7) Put into service; make work or employ for a particular purpose or for its inherent or
semeval2015.d001.s015.t000	The most suitable dictionary definition for the word "Powers" is:8) One possessing or exercising power or influence or authority
semeval2015.d001.s015.t001	9) A course of conduct.
semeval2015.d001.s015.t003	3) (botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually
semeval2015.d001.s015.t004	2) In addition
semeval2015.d001.s016.t000	7) A portion of something divided into shares.
semeval2015.d001.s016.t001	The most suitable dictionary definition which identifies the meaning of "specify" among the given options is:3) Define clearly
semeval2015.d001.s016.t003	1) A symbol (like x or y) that is used in mathematical or logical expressions to represent a variable quantity
semeval2015.d001.s016.t004	1) A vaguely specified social event
semeval2015.d001.s017.t000	5) Seek or achieve an end by using to one's advantage.
semeval2015.d001.s017.t001	The most suitable definition is:2) Specify as a condition or requirement in a contract or agreement; make an express demand or
semeval2015.d001.s017.t002	7) Greater than normal in degree or intensity or amount.
semeval2015.d001.s017.t003	4) Status established in order of importance or urgency.
semeval2015.d001.s018.t001	7) Find out, learn, or determine with certainty, usually by making an inquiry or other effort
semeval2015.d001.s018.t002	1) (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is
semeval2015.d001.s018.t003	8) Arrest the motion (of something) abruptly."Checks" in this context refers to the act of arresting or stopping
semeval2015.d001.s018.t004	1) A segment of DNA containing adjacent genes including structural genes and an operator gene and a regulatory gene.
semeval2015.d001.s019.t000	3) Provide treatment for.
semeval2015.d001.s019.t001	1) Someone who owns or operates a business.
semeval2015.d001.s019.t003	3) Provide treatment for
semeval2015.d001.s019.t004	3) A person who makes use of a thing; someone who uses or employs something;
semeval2015.d001.s019.t005	1) A vaguely specified social event.
semeval2015.d001.s020.t000	2) Use up (resources or materials).
semeval2015.d001.s020.t001	2) Give a definition for the meaning of a word
semeval2015.d001.s020.t002	4) The quality (positive or negative) that renders something desirable or valuable
semeval2015.d001.s022.t000	The most suitable dictionary definition which identifies the meaning of "way" is:11) A line leading to a place or point
semeval2015.d001.s022.t001	2) Give a definition for the meaning of a word
semeval2015.d001.s022.t002	2) Imposing or depending on or containing a condition.
semeval2015.d001.s022.t003	The most suitable dictionary definition which identifies the meaning of "operations" among the given options is:5) Process or manner of
semeval2015.d001.s023.t000	The most suitable dictionary definition which identifies the meaning of "introduce" is:5) IntroduceThis definition states that
semeval2015.d001.s023.t002	4) Use up, consume fully
semeval2015.d001.s023.t005	1) In tune; accurate in pitchThis definition accurately describes the meaning of "true" in the context of the sentence
semeval2015.d001.s023.t006	7) Find out, learn, or determine with certainty, usually by making an inquiry or other effort
semeval2015.d001.s023.t010	The most suitable dictionary definition is:3) An item of information that is typical of a class or group.This definition is
semeval2015.d001.s025.t000	5) Seek or achieve an end by using to one's advantage
semeval2015.d001.s025.t001	2) Give a definition for the meaning of a word
semeval2015.d001.s026.t001	2) Being of use or service.
semeval2015.d001.s026.t002	7) Move in an agitated manner.
semeval2015.d001.s027.t000	2) At the present moment
semeval2015.d001.s027.t001	4) Address a question to and expect an answer from
semeval2015.d001.s027.t002	3) A person who makes use of a thing; someone who uses or employs something;
semeval2015.d001.s028.t000	The most suitable dictionary definition which identifies the meaning of "easy" among the given options is:5) Posing no difficulty
semeval2015.d001.s028.t002	2) A vaguely specified social event
semeval2015.d001.s028.t003	3) Function of an angle expressed as a ratio of the length of the sides of right-angled triangle containing the angle.
semeval2015.d001.s028.t004	1) The Indic language spoken by the people of Sri Lanka.
semeval2015.d001.s028.t005	4) Recently past
semeval2015.d001.s028.t008	The most suitable definition is:3) The arithmetic operation of summing; calculating the sum of two or more numbers.
semeval2015.d001.s028.t009	5) A quantity obtained by multiplication
semeval2015.d001.s030.t000	The most suitable dictionary definition which identifies the meaning of "use" among the given options is:4) Use up, consume
semeval2015.d001.s030.t001	The most suitable dictionary definition which identifies the meaning of "plus()" is:2) The arithmetic operation of summing; calculating
semeval2015.d001.s030.t002	The most suitable dictionary definition is:2) An arithmetic operation that is the inverse of division; the product of two numbers is
semeval2015.d001.s030.t003	The most suitable dictionary definition which identifies the meaning of "has" among the given options is:5) Have a personal or
semeval2015.d001.s030.t004	1) A segment of DNA containing adjacent genes including structural genes and an operator gene and a regulatory gene.
semeval2015.d001.s031.t000	The most suitable dictionary definition is:2) Being of use or service.In this context, "useful" means having
semeval2015.d001.s032.t000	The most suitable dictionary definition which identifies the meaning of "there" is:3) To or toward that place; away from
semeval2015.d001.s032.t001	1) Achieve a point or goal
semeval2015.d001.s032.t002	4) A database containing an ordered array of items (names or topics).
semeval2015.d001.s032.t003	The most suitable dictionary definition which identifies the meaning of "variables" among the given options is:3) A quantity that can
semeval2015.d001.s033.t000	The most suitable dictionary definition which identifies the meaning of "see" is:8) Observe, check out, and look
semeval2015.d001.s033.t001	3) Cause to move; cause to be in a certain position or conditionThe correct definition of "lets" is:
semeval2015.d001.s033.t002	3) Cause to change; make different; cause a transformation
semeval2015.d001.s033.t003	4) The quality (positive or negative) that renders something desirable or valuable
semeval2015.d001.s033.t004	1) Only a very short time before
semeval2015.d001.s033.t005	The most suitable dictionary definition which identifies the meaning of "way" is:15) A way of doing something, especially a
semeval2015.d001.s033.t007	1) A written record of events on a voyage (of a ship or plane)
semeval2015.d001.s034.t000	1) An instance or single occasion for some event
semeval2015.d001.s034.t002	7) An expression consisting of one or more words forming a grammatical constituent of a sentence.
semeval2015.d001.s034.t003	2) A star that varies noticeably in brightness.
semeval2015.d001.s034.t004	4) The quality (positive or negative) that renders something desirable or valuable
semeval2015.d001.s034.t005	3) Cause to change; make different; cause a transformation
semeval2015.d001.s034.t006	The most suitable dictionary definition which identifies the meaning of "last" among the given options is:4) Occurring at or
semeval2015.d001.s034.t007	The most suitable dictionary definition is:2) The semantic role of the noun phrase whose referent exists only by virtue of the
