senseval2.d000.s000.t000	In the context of the given sentence, the word "art" refers to a skill or a practice.
semeval2013.d010.s022.t000	The word "scorer" is defined as: 1. A person who scores points or goals, especially in a game
semeval2013.d010.s022.t001	Here's a dictionary definition for "goals" in this context:Goals (noun): 1. A target or objective that
semeval2013.d010.s023.t000	Definition: Points (noun): A mark or score, especially one awarded in a competition or sport.
semeval2013.d011.s000.t001	According to Merriam-Webster Dictionary, the word "burden" is defined as:1. a weight or
semeval2013.d011.s000.t003	The dictionary definition of "economy" in the above sentence is:"Economy (noun): 1. The state of
semeval2013.d011.s001.t000	The word "Immigration" in the given sentence refers to the act of moving into a country to settle or reside there,
semeval2013.d011.s001.t001	A policy is: A set of principles, values, and rules that guide decision-making and actions within an organization, country
semeval2013.d011.s001.t002	Aspects: 1. A particular part or feature of something; a side or aspect of a thing.
semeval2013.d011.s001.t003	Congestion: A state of overcrowding or excessive traffic, especially in a city or a system.
semeval2013.d011.s001.t006	A policy: A set of principles and rules governing the behavior or actions of an organization, country, or individual.
semeval2013.d011.s001.t007	A dictionary definition of "numbers" in this context could be:"Numbers (noun): A quantity or amount of people or
semeval2013.d011.s001.t008	Here's a dictionary definition of "compatibility" in this context:"Compatibility" (noun): The quality or state of
semeval2013.d011.s001.t009	"Policy" refers to a set of principles, objectives, and guidelines that govern the actions and decisions of an organization, government
semeval2013.d011.s001.t010	Status: A state or position of being, especially one that is considered honorable, prestigious, or desirable.
semeval2013.d011.s001.t011	"Country" can be defined as a geographical area that is defined by a government and is typically inhabited by a specific group of
semeval2013.d011.s001.t012	A country: A geographical area with defined boundaries, government, and population, or a nation as a group of people who share
semeval2013.d011.s002.t000	Harassment: Unwanted or unwelcome conduct of a threatening, intimidating, or abusive nature, especially of a sexual or
semeval2013.d011.s002.t001	Person who is currently studying.
semeval2013.d011.s002.t002	The dictionary definition of "France" is:*   A country in Western Europe, occupying much of the western part of the
semeval2013.d011.s002.t003	Here's a dictionary definition of "talent" that fits the context:"Talent: a natural ability or aptitude for
semeval2013.d011.s002.t005	Waiters: people who serve food and drinks in a restaurant.
semeval2013.d011.s003.t000	The dictionary definition of "viewpoint" is: 1. A particular attitude or perspective on a subject or situation.
semeval2013.d011.s004.t000	According to the Oxford English Dictionary, the word "lot" can have multiple meanings. 1. A quantity or amount of
semeval2013.d011.s004.t002	The word "Left" in the sentence refers to the political spectrum.
semeval2013.d011.s004.t003	According to the Oxford English Dictionary, "Right" in this context can be defined as:1. A person or group having
semeval2013.d011.s004.t004	The word "subject" in the given sentence refers to an object of discussion, consideration, or treatment.
semeval2013.d011.s005.t000	In the given sentence, "Right" refers to the political Right or the conservative/Right-wing faction.
semeval2013.d011.s005.t001	The dictionary definition of "tone" in this context is:1. The quality or attitude expressed by the voice or writing;
semeval2013.d011.s005.t003	Here's a dictionary definition of "problem" that identifies its meaning in the given sentence:- Problem (noun): A state
semeval2013.d011.s005.t004	A nation or a state.
semeval2013.d011.s005.t005	The word "workers" in the given sentence refers to individuals who are employed in a particular trade, occupation, or profession,
semeval2013.d011.s005.t006	The meaning of "Left" in the above sentence is: Left (noun) : The term used to refer to the
semeval2013.d011.s005.t007	Here's a dictionary definition for "France" in the given sentence:France (noun): a country located in Western Europe,
semeval2013.d011.s005.t009	Here's a dictionary definition of "misery" from the Oxford English Dictionary:"1. extreme or intense suffering or distress
semeval2013.d011.s006.t000	Here's a dictionary definition for the word "difference" in the given context:- Difference (noun): A point or aspect
semeval2013.d011.s006.t001	Degree (noun) - 1. A measure of the extent or amount of something; a level or stage of development,
semeval2013.d011.s006.t002	Here is a dictionary definition of "generosity":1. The quality of being willing to give freely of one's time,
semeval2013.d011.s007.t000	The word "fear" in the sentence is defined as:1. A feeling of deep anxiety or apprehension about something
semeval2013.d011.s007.t001	According to the Oxford English Dictionary, "invasion" is defined as:1. The act of entering or being entered into
semeval2013.d011.s007.t002	According to the Oxford English Dictionary, the word "territory" is defined as:1. An area of land or a
semeval2013.d011.s007.t003	According to the Oxford English Dictionary, "hordes" is defined as:1. A large number of people, especially in
semeval2013.d011.s007.t005	The meaning of "Left" in this context is "the political left" or "the liberal or socialist side of the political
semeval2013.d011.s007.t006	According to the Oxford English Dictionary, "Right" in this context refers to the political right or conservative right.
semeval2013.d011.s008.t000	According to the dictionary, "sides" can be defined as:1. One of two or more parts or divisions of
semeval2013.d011.s008.t002	According to the Oxford English Dictionary, "burden" can be defined as:"A weight or responsibility that is difficult to carry
semeval2013.d011.s008.t003	The word "economy" in the sentence is defined as:"The system or process of producing, distributing, and exchanging goods
semeval2013.d011.s008.t004	According to the Oxford English Dictionary, "society" can be defined as:1. The aggregate of people living together in
semeval2013.d011.s009.t000	According to the Oxford English Dictionary, "difference" can be defined as:1. The quality or state of being different;
semeval2013.d011.s009.t001	Degree (noun) - 1. A measure of the extent or amount of something, especially of a quality, attribute,
semeval2013.d011.s009.t002	According to Merriam-Webster Dictionary, "generosity" is defined as:1. The quality of being generous
