senseval2.d000.s000.t000	1) A superior skill that you can learn by study and practice and observation
semeval2015.d000.s002.t012	1) A licensed medical practitioner
semeval2015.d000.s003.t000	4) Feel or have a desire for; want strongly
semeval2015.d000.s003.t001	1) (comparative of `many' used with count nouns) quantifier meaning greater in number
semeval2015.d000.s003.t002	2) Knowledge acquired through study or experience or instruction
semeval2015.d000.s003.t003	3) The fundamental assumptions from which something is begun or developed or calculated or explained
semeval2015.d000.s003.t004	1) Something (as a course of action) that is recommended as advisable
semeval2015.d000.s003.t005	3) Interpret something that is written or printed
semeval2015.d000.s003.t007	1) An exchange of views on some topic
semeval2015.d000.s003.t009	2) One of the portions into which something is regarded as divided and which together constitute a whole.
semeval2015.d000.s005.t000	1) A solid substance in the form of tiny loose particles; a solid that has been pulverized
semeval2015.d000.s005.t002	2) A homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution
semeval2015.d000.s005.t003	3) (medicine) the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between
semeval2015.d000.s005.t004	1) Fall in drops
semeval2015.d000.s005.t005	4) A blood vessel that carries blood from the capillaries toward the heart
semeval2015.d000.s006.t000	3) Include or contain; have as a component
semeval2015.d000.s006.t001	The most suitable definition for "active" in the context of the sentence "It contains the active substance pemetrexed"
semeval2015.d000.s006.t002	1) A particular kind or species of matter with uniform properties
semeval2015.d000.s007.t000	The most suitable dictionary definition for "used" in the sentence "What is Alimta used for?" is:5)
semeval2015.d000.s008.t000	The most suitable dictionary definition for "used" in the given sentence is:5) Seek or achieve an end by using to
semeval2015.d000.s008.t001	3) Provide treatment for
semeval2015.d000.s008.t002	2) A subdivision of a particular kind of thing
semeval2015.d000.s008.t003	4) Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through
semeval2015.d000.s008.t006	4) Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through
semeval2015.d000.s008.t007	3) A protective covering that protects an inside surface
semeval2015.d000.s008.t010	The most suitable dictionary definition for "caused" in the given sentence is:2) Give rise to; cause to happen
semeval2015.d000.s009.t000	The most suitable dictionary definition for "used" in the given sentence is:5) Seek or achieve an end by using to
semeval2015.d000.s009.t003	1) The learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating
semeval2015.d000.s009.t004	4) Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through
semeval2015.d000.s009.t005	The most suitable dictionary definition which identifies the meaning of "removed" in the given sentence is:7) Remove from a position
semeval2015.d000.s009.t006	1) The branch of medical science that treats disease or injury by operative procedures
semeval2015.d000.s009.t007	4) Exclusive of anyone or anything else
semeval2015.d000.s009.t009	The most suitable dictionary definition which identifies the meaning of "spread" in the given sentence is:3) Distribute or
semeval2015.d000.s009.t010	2) Has a good chance of being the case or of coming about
semeval2015.d000.s009.t011	The most suitable dictionary definition which identifies the meaning of "spread" in the given sentence is:3) Distribute or
semeval2015.d000.s009.t012	2) Indicating high probability; in all likelihood
semeval2015.d000.s009.t013	1) Not the same one or ones already mentioned or implied- the White Queen
semeval2015.d000.s009.t014	2) One of the portions into which something is regarded as divided and which together constitute a whole.
semeval2015.d000.s009.t015	The most suitable dictionary definition which identifies the meaning of "body" in the given sentence is:16) The entire structure
semeval2015.d000.s009.t016	1) A person who requires medical care
semeval2015.d000.s009.t020	5) The branches of medical science that deal with nonsurgical techniques
semeval2015.d000.s009.t021	4) Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through
semeval2015.d000.s009.t022	The most suitable dictionary definition for "advanced" in the given sentence is:6) Comparatively late in a course of development
semeval2015.d000.s009.t024	5) (biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (
semeval2015.d000.s009.t027	1) Have an effect upon
semeval2015.d000.s010.t000	The most suitable dictionary definition for "used" in the given sentence is:5) Seek or achieve an end by using to
semeval2015.d000.s010.t002	1) A person who requires medical care
semeval2015.d000.s010.t004	7) Subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a
semeval2015.d000.s010.t005	1) A person who requires medical care
semeval2015.d000.s010.t007	2) A subdivision of a particular kind of thing
semeval2015.d000.s010.t009	1) The time that has elapsed
semeval2015.d000.s011.t000	1) The learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating
semeval2015.d000.s011.t001	2) And nothing more
semeval2015.d000.s011.t002	2) Come into the possession of
semeval2015.d000.s011.t003	3) Written instructions from a physician or dentist to a druggist concerning the form and dosage of a drug to be issued
semeval2015.d000.s012.t000	The most suitable dictionary definition for "used" in the sentence "How is Alimta used?" is:5) Seek
semeval2015.d000.s013.t000	2) And nothing more
semeval2015.d000.s013.t001	The most suitable dictionary definition which identifies the meaning of "given" in the sentence "Alimta should only be given under
semeval2015.d000.s013.t003	1) A licensed medical practitioner
semeval2015.d000.s013.t004	4) What something is used for
semeval2015.d000.s014.t000	The most suitable dictionary definition for "dose" in the given sentence is:5) The quantity of an active agent (
semeval2015.d000.s014.t001	2) One millionth (1/1,000,000) gram
semeval2015.d000.s014.t003	The most suitable dictionary definition which identifies the meaning of "body" in the given sentence is:16) The entire structure
semeval2015.d000.s014.t005	2) Make a mathematical calculation or computation
semeval2015.d000.s014.t006	The most suitable dictionary definition for "using" in the given sentence is:5) Seek or achieve an end by using to
semeval2015.d000.s014.t007	1) A person who requires medical care
semeval2015.d000.s014.t008	The most suitable dictionary definition for "height" in the given sentence is:3) Elevation especially above sea level or above
semeval2015.d000.s014.t009	3) The vertical force exerted by a mass as a result of gravity
semeval2015.d000.s015.t000	The most suitable dictionary definition for "given" in the sentence "It is given once every three weeks as an intravenous infusion lasting
