senseval2.d000.s000.t000	2) The products of human creativity; works of art collectively
semeval2015.d001.s047.t009	1) (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is
semeval2015.d001.s048.t000	1) Subsequently or soon afterward (often used as sentence connectors)This definition best matches the meaning of "Then" in
semeval2015.d001.s048.t001	4) The concentration of attention or energy on something.This definition best captures the meaning of "focus" in the context of
semeval2015.d001.s048.t002	3) Signal going into an electronic system.This definition of "input" refers to data or information being sent into a system
semeval2015.d001.s048.t003	1) The words of something written
semeval2015.d001.s048.t005	1) Identify as belonging to a certain type
semeval2015.d001.s048.t006	5) The actions and activities assigned to or required or expected of a person or group.This definition best fits the context of
semeval2015.d001.s049.t000	4) Feel or have a desire for; want strongly.This definition most closely aligns with the context of the sentence,
semeval2015.d001.s049.t001	3) Take or consume (regularly or habitually)This definition captures the meaning of "use" in the given sentence
semeval2015.d001.s049.t002	3) Exhibiting the qualities or characteristics that identify a group or kind or category.This definition best matches the meaning of "
semeval2015.d001.s049.t004	4) Absolutely essentialThe sentence is saying that it is not necessary to specify the function (f(x)) if you want
semeval2015.d001.s049.t005	2) Specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement.This
semeval2015.d001.s050.t001	5) The actions and activities assigned to or required or expected of a person or group.In the given sentence, "function
semeval2015.d001.s050.t003	1) To show, make visible or apparentThis definition best fits the context of the sentence, as "display" is
semeval2015.d001.s050.t005	3) Most important element.In the given sentence, "main" refers to the primary or central part, which is the
semeval2015.d001.s050.t006	2) (computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen.
semeval2015.d001.s051.t000	10) Make ready or suitable or equip in advance for a particular purpose or for some use, event, etc.This definition
semeval2015.d001.s051.t001	3) (used with count nouns) of an indefinite number more than 2 or 3 but not many.This definition
semeval2015.d001.s051.t003	2) Closely similar or comparable in kind or quality or quantity or degree.This definition of "same" best fits
semeval2015.d001.s052.t000	5) Exactly at this moment or the moment described;
semeval2015.d001.s052.t001	3) Take or consume (regularly or habitually)This definition is the most suitable because it describes the action of taking
semeval2015.d001.s052.t002	1) Make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope
semeval2015.d001.s052.t003	4) A database containing an ordered array of items (names or topics).This definition is the most suitable for the sentence "
semeval2015.d001.s052.t004	2) How something is done or how it happens.This definition is the most suitable for the context of the sentence "Just
semeval2015.d001.s053.t000	10) Make ready or suitable or equip in advance for a particular purpose or for some use, event, etc
semeval2015.d001.s053.t002	3) The appearance of objects (or light sources) described in terms of a person's perception of their hue and lightness
semeval2015.d002.s000.t000	3) An institution supported by an endowmentThis definition is the most suitable because it describes an organization (The Foundation)
semeval2015.d002.s000.t002	3) Engage as a participant.In this sentence, "involved" means to participate or be a part of something
semeval2015.d002.s000.t003	2) Arrange by systematic planning and united effort.The sentence "organising" is in the present participle form, which
semeval2015.d002.s000.t004	4) A prearranged meeting for consultation or exchange of information or discussion (especially one with a formal agenda)This definition
semeval2015.d002.s000.t005	6) Take action with respect to (someone or something).In the given sentence, "dealt" implies that the Foundation
semeval2015.d002.s000.t006	1) Being in or verging on a state of crisis or emergency
semeval2015.d002.s000.t007	1) A demanding or stimulating situation
semeval2015.d002.s001.t000	1) Someone who takes part in an activity
semeval2015.d002.s001.t001	3) Most important elementIn this sentence, "main" refers to the primary or most significant part or element, which
semeval2015.d002.s001.t003	7) Be present at (meetings, church services, university), etc.This definition best matches the context of the sentence
semeval2015.d002.s001.t004	4) Discuss the pros and cons of an issue.The sentence indicates that the participants were discussing and analyzing the issues, which
semeval2015.d002.s001.t005	3) An important question that is in dispute and must be settled.This definition fits the context of the sentence, where "
semeval2015.d002.s001.t008	2) A person who acts and gets things done.In the given sentence, "actors" refers to the individuals or groups
semeval2015.d002.s001.t011	6) (usually plural) persons who exercise (administrative) control over others.This definition best matches the meaning of "
semeval2015.d002.s001.t012	2) Relating to human society and its members.
semeval2015.d002.s001.t013	1) Of your own free will or design; done by choice; not forced or compelled.
semeval2015.d002.s001.t014	2) A group of people living in a particular local area
semeval2015.d002.s001.t015	4) The persons (or committees or departments etc.) who make up a body for the purpose of administering something.This definition
semeval2015.d002.s001.t017	6) Work done by one person or group that benefits another.
semeval2015.d002.s001.t018	3) A person who makes use of a thing; someone who uses or employs something.In the given sentence, "users
semeval2015.d002.s002.t002	22) An enveloping structure or covering enclosing an animal or plant organ or part.This definition is the most suitable as it
semeval2015.d002.s002.t003	5) Announce as the result of an investigation or experience or finding.This definition best fits the context of the sentence,
semeval2015.d002.s002.t004	2) Earnest and conscientious activity intended to do or accomplish something.This definition aligns with the context of the sentence
semeval2015.d002.s002.t005	3) Engage as a participantThe sentence implies that the users were included or participated in the service planning process, rather
semeval2015.d002.s002.t006	3) A person who makes use of a thing; someone who uses or employs something.In this context, "users"
semeval2015.d002.s002.t007	6) Work done by one person or group that benefits another.This definition best captures the meaning of "service" in the
